,author,published_at,updated_at,like_count,text
1199,@baivulcho,2023-06-24T08:44:28Z,2023-06-24T08:44:28Z,0,"This series is already released in Chinese. You can watch it even now with subtitles. I started watching it a few weeks ago, and it's surprisingly good.<br>I've read the books and didn't expect they can do them justice in a movie, but from what I've seen so far, the series is pretty good."
1200,@Catgirls_and_Warcrimes,2023-06-24T08:38:53Z,2023-06-24T08:38:53Z,1,Dual vector foil go BRRRRRRRRR
1201,@nischesharma,2023-06-24T08:28:08Z,2023-06-24T08:28:08Z,0,Looking like dark show
1202,@geneoverride3725,2023-06-24T08:12:05Z,2023-06-24T08:12:05Z,1,I wanna see how they show the neuron weapon
1203,@justketh4298,2023-06-24T07:55:59Z,2023-06-24T07:55:59Z,1,"trailer looks dope, one of my fav book series ever - only thing inking me is FROM THE CREATORS OF GAME OF THRONES lol , I still got trauma from the GOT FINAL SEASON!"
1204,@kodyjung4074,2023-06-24T07:48:55Z,2023-06-24T07:48:55Z,2,oh she doing the diablo cinematics walk.  ok
1205,@lunarholiday,2023-06-24T07:48:32Z,2023-06-24T07:48:32Z,0,"""creators of game of thrones"" series is not the flex you think it is lol. did you forget the disaster Benioff and Weiss turned it into?"
1206,@nouveaux349,2023-06-24T07:37:02Z,2023-06-24T07:37:02Z,1,It better be good!!! I’m too invested into the books!
1207,@JinKee,2023-06-24T07:34:16Z,2023-06-24T07:34:16Z,1,"If this gets cancelled before we get to the Dark Forest, what business is it of yours?"
1208,@FawnieFox,2023-06-24T07:00:27Z,2023-06-24T07:00:27Z,1,"Finished the first book a while ago. I’ve been meaning to finish the series, this gives me a deadline!"
1209,@rafisalman1995,2023-06-24T06:23:13Z,2023-06-24T06:23:13Z,0,"At <a href=""https://www.youtube.com/watch?v=5lj99Uz1d50&t=00m30s"">00:30</a> was that from The Hours?"
1210,@christopherearl1284,2023-06-24T06:13:20Z,2023-06-24T06:13:20Z,1,"Ngl, kinda bothers me that it says ""from the creators of GAME OF THRONES"".  I love both Game of Thrones and The Three Body Problem .... fingers crossed"
1211,@surelywoo,2023-06-24T06:02:32Z,2023-06-24T06:02:32Z,2,Epic book trilogy full of big ideas.  One of my favorites.  It will be challenging to capture all the things that make the books so good.
1212,@Stephanius,2023-06-24T05:51:28Z,2023-06-24T05:51:28Z,0,"Looks interesting, but ""from the creators of game of thrones"" is a warning label after D&D burned down game of thrones."
1213,@ShootNPissUrSelf,2023-06-24T05:14:34Z,2023-06-24T05:14:34Z,1,Guess i'll check out the books
1214,@matthewchinmingwei6721,2023-06-24T04:56:38Z,2023-06-24T04:56:38Z,0,"The books were amazing, but this feels like someone tried to shove an action plotline into an intellectual thriller plot without any intellect of their own."
1215,@michaelmolokwu2292,2023-06-24T04:55:35Z,2023-06-24T04:55:35Z,1,"i am super hyped for this , amazing series"
1216,@senpaisauces,2023-06-24T04:40:47Z,2023-06-24T04:40:47Z,2,Finally its coming to Netflix
1217,@jackburton2680,2023-06-24T04:35:50Z,2023-06-24T04:35:50Z,0,Meh if it's being done by the game of thrones showrunners I have zero faith or interest in it. The final season of game of thrones was so shockingly mishandled and botched I will never trust the folks behind it ever with anyghing
1218,@unknownchannel3141,2023-06-24T04:34:38Z,2023-06-24T04:34:38Z,1,Oh yes.<br><br>Finally
1219,@user-ji8tw9mj9g,2023-06-24T04:07:42Z,2023-06-24T04:07:42Z,1,"I hope it's much better than the books, because they're truly awful."
1220,@thenathanimal2909,2023-06-24T03:49:05Z,2023-06-24T03:49:05Z,0,"Hollywood shits the bed 99/100 times, don't get your hopes u0"
1221,@pppaaa5399,2023-06-24T03:45:28Z,2023-06-24T03:45:28Z,1,This is literally the BEST fiction novel...........
1222,@pppaaa5399,2023-06-24T03:44:16Z,2023-06-24T03:44:16Z,0,"Rumor says the release date is June 2023, now it's changed to January 2024.  Pity, half more year!"
1223,@TOTU,2023-06-24T03:39:58Z,2023-06-24T03:39:58Z,1,YES YES I BEEN WAITING FOR SO LONG!!!!
1224,@1vootman,2023-06-24T03:32:34Z,2023-06-24T03:32:34Z,1,"I am I being advertised something 6 months away, like you couldn't have done it 6 weeks away? Id still watch it"
1225,@eugkra33,2023-06-24T03:27:26Z,2023-06-24T03:27:26Z,0,Let's hope this ends at season 4.
1226,@kermiekruiser40,2023-06-24T03:26:21Z,2023-06-24T03:26:34Z,1,"I love the The Three Body Problem and its counterparts but I feel like a lot of the beauty of the trilogy is the sheer incomprehensible scale of what they discuss. I'm not saying that this show won't be good, but if they just CGI in all the alien tech, I think it will lose a lot of the mystery that made the books so amazing. Anyways, my bleating ass is still gonna watch it. (cuz I'm a sheep)"
1227,@trevormacintosh3939,2023-06-24T03:18:22Z,2023-06-24T03:18:22Z,1,"Ok... not sure what anything in this trailer has to do with the three body problem, but it looks cool."
1228,@judgedrejj,2023-06-24T03:09:38Z,2023-06-24T03:09:38Z,1,Everyone should watch the Chinese adaptation that came out recently. It's excellent.
1229,@justaghoulintheworld,2023-06-24T02:51:50Z,2023-06-24T02:51:50Z,0,"What a confused trailer. No continuity, What does it mean. What is it about?"
1230,@ac.f.525,2023-06-24T02:48:04Z,2023-06-24T02:48:04Z,0,"“From the creators of Game and Thrones”, oh that’s all you had to say! Definitely not investing time into this"
1231,@pratiyushprakash6509,2023-06-24T02:28:07Z,2023-06-24T02:28:07Z,1,I loved this book so much. Hopefully they will do justice to the tremendous book.
1232,@whypopme88,2023-06-24T02:08:50Z,2023-06-24T02:08:50Z,0,"I never read the book, but i watched the Chinese version.  Dispite of the fact that it was a low budget production, the show was an eye opener, and yes, it became a block buster."
1233,@jessehickey3855,2023-06-24T02:07:51Z,2023-06-24T02:07:51Z,0,So 3 Body Problem is in the Big Bang Theory Cinematic Universe?
1234,@obi-wankenobi5332,2023-06-24T01:56:51Z,2023-06-24T01:56:51Z,0,garbage 😀
1235,@af8828,2023-06-24T01:54:14Z,2023-06-24T01:54:14Z,0,"I was wondering how Netflix (or any western company) would pick up chinese literature - and then I realized it's because they're going to amplify the ""cultural revolution had some mistakes"" part of the story to be full blown new-cold-war Mccarthyist anti-CPC propaganda. Hopefully it doesn't overtake the actual plot lmao"
